,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,68,6.8,5,0,0.7220799375857626,10,13,11,14,12,14,12,13,12,14,12,13,9,10,0,0,0,0,0,0,0.14540331,0.8560072,7.917796,1,0.8560072,0.14540331,7.917796,0,59713643048,50,0.0015137195587158203,0.0015137195587158203,0.002000093460083008
1,123,12.3,5,0,0.7220799375857626,12,14,12,14,9,11,9,10,9,11,10,12,9,12,10,14,10,13,0,0,0.19734333,1.0434622,8.857127,1,1.0434622,0.19734333,8.857127,1,59713643048,50,0.000997781753540039,0.000997781753540039,0.0019998550415039062
2,25,2.5,5,0,0.7220799375857626,10,11,9,13,10,14,9,10,11,14,9,13,9,11,9,13,0,0,0,0,0.4284612,0.85733813,5.858245,1,0.85733813,0.4284612,5.858245,2,59713643048,50,0.0010006427764892578,0.0010006427764892578,0.0009999275207519531
3,84,8.4,5,0,0.7220799375857626,9,10,10,13,10,14,9,10,10,11,9,11,12,14,9,11,12,14,0,0,0.097078666,0.9331748,8.130836,1,0.9331748,0.097078666,8.130836,3,59713643048,50,0.0,0.0,0.0010008811950683594
4,177,17.7,5,0,0.7220799375857626,11,12,11,12,9,13,11,14,12,14,12,13,10,12,10,13,11,14,0,0,0.12221478,1.1669487,10.666251,1,1.1669487,0.12221478,10.666251,4,59713643048,50,0.0009989738464355469,0.0009989738464355469,0.0009996891021728516
5,170,17.0,5,0,0.7220799375857626,9,10,11,12,11,12,11,14,10,12,12,13,10,11,12,14,0,0,0,0,0.40886003,1.1209866,8.834378,1,1.1209866,0.40886003,8.834378,5,59713643048,50,0.0,0.0,0.002000570297241211
6,76,7.6,5,0,0.7220799375857626,12,14,11,14,9,13,10,12,11,14,10,11,10,12,0,0,0,0,0,0,0.17899214,0.84985656,7.634544,1,0.84985656,0.17899214,7.634544,6,59713643048,50,0.0009996891021728516,0.0009996891021728516,0.002000570297241211
7,48,4.8,5,0,0.7220799375857626,9,12,11,14,10,11,12,14,11,14,12,13,10,12,0,0,0,0,0,0,0.1620088,0.81568354,7.397001,1,0.81568354,0.1620088,7.397001,7,59713643048,50,0.0009999275207519531,0.0009999275207519531,0.0010006427764892578
8,158,15.8,5,0,0.7220799375857626,9,10,10,12,11,12,10,11,9,10,10,14,9,13,12,14,11,13,9,11,0.34199595,1.1978208,10.415186,1,1.1978208,0.34199595,10.415186,8,59713643048,50,0.0,0.0,0.0009989738464355469
9,62,6.2,5,0,0.7220799375857626,9,10,12,13,9,12,10,13,10,14,9,11,12,13,9,12,12,14,9,12,0.22160016,1.0068743,8.624639,1,1.0068743,0.22160016,8.624639,9,59713643048,50,0.0010864734649658203,0.0010864734649658203,0.0009927749633789062
