,robot_speed,robot_speed_kmh,simulation_duration,generation,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,num_risks,num_delivered,utilization_rate,delivery_rate,simulations,num_delivered_0,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,51,5.1,5,0,10,14,10,11,9,13,12,13,10,11,10,13,12,14,0,0,0,0,0,0,5.0,12.2,0.9841898148148146,0.244,1,12.2,0.9841898148148146,0.244,5.0,0,59713643048,50,86.19201946258545,86.19201946258545,0.0007708072662353516
1,197,19.7,5,0,11,12,9,12,11,14,9,10,10,11,10,13,9,10,10,14,10,13,0,0,16.0,20.0,0.9422170781893003,0.4,1,20.0,0.9422170781893003,0.4,16.0,1,59713643048,50,125.05037713050842,125.05037713050842,0.0006868839263916016
2,78,7.8,5,0,9,11,10,11,10,14,10,11,9,10,12,14,11,13,11,13,0,0,0,0,10.6,12.6,0.948628472222222,0.252,1,12.6,0.948628472222222,0.252,10.6,2,59713643048,50,121.36925220489502,121.36925220489502,0.0006680488586425781
3,97,9.7,5,0,12,14,10,12,9,12,10,11,9,13,10,13,11,14,12,13,12,14,0,0,16.2,18.6,0.9574948559670781,0.372,1,18.6,0.9574948559670781,0.372,16.2,3,59713643048,50,126.5314679145813,126.5314679145813,0.0006690025329589844
4,171,17.1,5,0,10,11,12,14,9,12,9,11,9,13,12,13,10,14,10,11,11,13,0,0,16.8,20.0,0.9742952674897118,0.4,1,20.0,0.9742952674897118,0.4,16.8,4,59713643048,50,96.7712996006012,96.7712996006012,0.0006563663482666016
5,199,19.9,5,0,11,13,12,14,9,10,9,10,11,13,12,14,11,13,0,0,0,0,0,0,8.6,12.0,0.9528174603174602,0.24,1,12.0,0.9528174603174602,0.24,8.6,5,59713643048,50,97.81936359405518,97.81936359405518,0.0006365776062011719
6,96,9.6,5,0,9,10,11,14,12,13,10,12,11,13,10,12,12,14,9,10,0,0,0,0,11.6,12.2,0.9331192129629629,0.244,1,12.2,0.9331192129629629,0.244,11.6,6,59713643048,50,130.58351492881775,130.58351492881775,0.0006506443023681641
7,178,17.8,5,0,9,11,10,12,9,13,9,11,9,11,10,13,12,14,0,0,0,0,0,0,10.4,17.0,0.9667757936507936,0.34,1,17.0,0.9667757936507936,0.34,10.4,7,59713643048,50,91.17108869552612,91.17108869552612,0.0007593631744384766
8,172,17.2,5,0,12,14,12,13,11,13,11,12,10,13,0,0,0,0,0,0,0,0,0,0,8.4,9.0,0.9777222222222222,0.18,1,9.0,0.9777222222222222,0.18,8.4,8,59713643048,50,52.58996605873108,52.58996605873108,0.0007417201995849609
9,147,14.7,5,0,10,12,11,12,9,13,12,14,10,12,11,13,10,13,11,13,0,0,0,0,13.6,17.8,0.9769155092592592,0.356,1,17.8,0.9769155092592592,0.356,13.6,9,59713643048,50,78.2091863155365,78.2091863155365,0.0007479190826416016
10,106,10.6,5,0,9,10,10,13,9,13,12,14,11,13,12,13,12,14,12,13,11,12,10,14,18.0,19.2,0.9560555555555557,0.384,1,19.2,0.9560555555555557,0.384,18.0,10,59713643048,50,121.1527087688446,121.1527087688446,0.0008065700531005859
11,89,8.9,5,0,11,14,9,11,9,12,9,12,11,14,10,12,12,13,11,14,12,14,12,14,20.2,20.8,0.9540972222222222,0.416,1,20.8,0.9540972222222222,0.416,20.2,11,59713643048,50,141.8775339126587,141.8775339126587,0.000545501708984375
12,147,14.7,5,1,10,12,9,12,11,14,11,13,10,13,11,12,0,0,0,0,0,0,0,0,10.2,13.6,0.9502006172839507,0.272,1,13.6,0.9502006172839507,0.272,10.2,12,59713643048,50,81.11002469062805,81.11002469062805,0.0003380775451660156
13,197,19.7,5,1,11,12,9,12,11,14,9,10,10,12,10,13,9,10,10,13,9,12,0,0,17.6,20.0,0.9463168724279833,0.4,1,20.0,0.9463168724279833,0.4,17.6,13,59713643048,50,122.8000156879425,122.8000156879425,0.0003466606140136719
14,51,5.1,5,1,10,13,12,13,10,11,10,13,0,0,0,0,0,0,0,0,0,0,0,0,6.4,5.6,0.9471296296296297,0.112,1,5.6,0.9471296296296297,0.112,6.4,14,59713643048,50,90.43161463737488,90.43161463737488,0.0003266334533691406
15,172,17.2,5,1,11,14,9,13,12,13,11,13,11,12,10,13,10,12,0,0,0,0,0,0,11.4,16.0,0.9673677248677249,0.32,1,16.0,0.9673677248677249,0.32,11.4,15,59713643048,50,75.22429180145264,75.22429180145264,0.00033354759216308594
16,106,10.6,5,1,10,12,10,11,9,11,11,13,12,13,12,14,12,13,10,14,0,0,0,0,10.0,13.6,0.9530121527777776,0.272,1,13.6,0.9530121527777776,0.272,10.0,16,59713643048,50,104.62828850746155,104.62828850746155,0.0003376007080078125
17,51,5.1,5,1,10,14,9,12,12,14,10,12,10,13,11,12,12,14,0,0,0,0,0,0,12.2,12.4,0.9466600529100528,0.248,1,12.4,0.9466600529100528,0.248,12.2,17,59713643048,50,113.97067165374756,113.97067165374756,0.00039267539978027344
18,97,9.7,5,1,12,14,9,11,9,10,9,10,11,14,10,13,11,14,12,13,12,14,0,0,16.8,16.4,0.96233024691358,0.328,1,16.4,0.96233024691358,0.328,16.8,18,59713643048,50,110.99462532997131,110.99462532997131,0.00034618377685546875
19,171,17.1,5,1,10,11,12,14,9,11,9,12,9,13,9,10,10,14,9,10,11,13,0,0,14.2,20.0,0.9746270576131687,0.4,1,20.0,0.9746270576131687,0.4,14.2,19,59713643048,50,100.52716445922852,100.52716445922852,0.0003514289855957031
20,197,19.7,5,1,11,12,9,12,11,14,9,10,10,11,10,13,9,10,10,14,10,13,0,0,16.0,20.0,0.9422170781893003,0.4,1,20.0,0.9422170781893003,0.4,16.0,1,59713643048,50,125.05037713050842,125.05037713050842,0.0003452301025390625
