,robot_speed,robot_speed_kmh,simulation_duration,generation,test_loss,robot_0_start,robot_0_end,robot_1_start,robot_1_end,robot_2_start,robot_2_end,robot_3_start,robot_3_end,robot_4_start,robot_4_end,robot_5_start,robot_5_end,robot_6_start,robot_6_end,robot_7_start,robot_7_end,robot_8_start,robot_8_end,robot_9_start,robot_9_end,delivery_rate,utilization_rate,num_risks,simulations,utilization_rate_0,delivery_rate_0,num_risks_0,unique_id_0,seed_0,requests_per_hour_0,execution_time_0,sequential_execution_time,execution_time
0,129,12.9,5,0,2.3625013500452043,10,14,10,11,12,14,9,10,10,12,12,14,12,14,12,14,0,0,0,0,0.160976,0.9971783,8.706196,1,0.9971783,0.160976,8.706196,0,59713643048,50,0.0019986629486083984,0.0019986629486083984,3.093660593032837
1,50,5.0,5,0,2.3625013500452043,9,10,12,14,12,14,9,13,10,12,10,11,12,13,12,14,0,0,0,0,0.101998515,0.97951996,5.511348,1,0.97951996,0.101998515,5.511348,1,59713643048,50,0.0010232925415039062,0.0010232925415039062,1.778921365737915
2,104,10.4,5,0,2.3625013500452043,12,14,9,10,10,12,9,10,12,13,11,14,12,13,10,12,0,0,0,0,0.13495594,0.95447385,7.467648,1,0.95447385,0.13495594,7.467648,2,59713643048,50,0.0010008811950683594,0.0010008811950683594,1.6627306938171387
3,62,6.2,5,0,2.3625013500452043,12,13,9,13,11,14,11,14,11,13,11,12,12,14,10,12,9,10,0,0,0.2926603,0.7902539,8.548857,1,0.7902539,0.2926603,8.548857,3,59713643048,50,0.0010030269622802734,0.0010030269622802734,1.736180067062378
4,165,16.5,5,0,2.3625013500452043,10,14,10,13,12,13,11,14,10,12,10,14,10,13,11,12,0,0,0,0,0.19293886,1.0176632,10.109872,1,1.0176632,0.19293886,10.109872,4,59713643048,50,0.0,0.0,1.7247741222381592
5,161,16.1,5,0,2.3625013500452043,12,14,9,11,11,13,11,12,11,14,10,11,9,11,9,10,11,14,0,0,0.416961,0.7582476,11.6214695,1,0.7582476,0.416961,11.6214695,5,59713643048,50,0.0009996891021728516,0.0009996891021728516,1.7498443126678467
6,23,2.3,5,0,2.3625013500452043,9,11,10,14,10,13,10,14,10,14,12,14,11,12,10,11,11,14,0,0,0.19485873,0.8224789,6.9959383,1,0.8224789,0.19485873,6.9959383,6,59713643048,50,0.0,0.0,1.6756057739257812
7,120,12.0,5,0,2.3625013500452043,10,12,10,13,11,14,10,14,11,13,10,12,11,13,11,13,12,14,11,13,0.45156413,0.82139325,11.241258,1,0.82139325,0.45156413,11.241258,7,59713643048,50,0.0,0.0,1.6428980827331543
8,65,6.5,5,0,2.3625013500452043,12,13,12,14,12,13,9,10,9,12,11,14,12,13,12,13,11,13,0,0,0.2858885,0.8104706,7.821671,1,0.8104706,0.2858885,7.821671,8,59713643048,50,0.0,0.0,0.006000518798828125
9,112,11.2,5,0,2.3625013500452043,11,12,9,11,12,14,9,10,9,12,12,13,11,14,10,11,11,14,9,12,0.4693702,0.7723696,11.06474,1,0.7723696,0.4693702,11.06474,9,59713643048,50,0.0010008811950683594,0.0010008811950683594,0.006009340286254883
10,83,8.3,5,0,2.3625013500452043,12,14,9,11,12,14,10,14,12,14,9,10,10,13,0,0,0,0,0,0,0.15603429,1.0086979,8.450345,1,1.0086979,0.15603429,8.450345,10,59713643048,50,0.0,0.0,0.013994932174682617
11,125,12.5,5,0,2.3625013500452043,11,13,11,13,10,14,12,14,9,10,11,14,11,14,12,14,10,12,0,0,0.40774137,0.6980982,10.397405,1,0.6980982,0.40774137,10.397405,11,59713643048,50,0.0,0.0,0.014984607696533203
12,125,12.5,5,1,2.3625013500452043,11,13,11,13,10,14,12,14,9,10,9,13,9,13,12,14,10,12,0,0,0.44089514,0.640826,10.287022,1,0.640826,0.44089514,10.287022,12,59713643048,50,0.002016782760620117,0.002016782760620117,0.011010169982910156
13,165,16.5,5,1,2.3625013500452043,10,14,10,13,12,13,11,14,10,12,11,14,10,13,0,0,0,0,0,0,0.098304816,1.1247814,11.188622,1,1.1247814,0.098304816,11.188622,13,59713643048,50,0.001007080078125,0.001007080078125,0.010518074035644531
14,125,12.5,5,1,2.3625013500452043,11,13,11,13,10,14,12,14,9,10,10,14,11,14,10,12,0,0,0,0,0.2446639,0.8465339,8.834037,1,0.8465339,0.2446639,8.834037,14,59713643048,50,0.0010001659393310547,0.0010001659393310547,0.010991573333740234
15,50,5.0,5,1,2.3625013500452043,9,10,12,14,12,14,9,13,10,11,10,11,12,14,12,14,0,0,0,0,0.11292333,0.9820216,5.4905286,1,0.9820216,0.11292333,5.4905286,15,59713643048,50,0.0,0.0,0.006994724273681641
16,83,8.3,5,1,2.3625013500452043,11,14,10,14,11,14,11,13,12,13,12,14,10,11,9,10,0,0,0,0,0.1511231,0.9551375,7.681536,1,0.9551375,0.1511231,7.681536,16,59713643048,50,0.0009975433349609375,0.0009975433349609375,0.016000986099243164
17,42,4.2,5,1,2.3625013500452043,9,11,9,11,12,14,10,14,10,12,9,10,10,13,0,0,0,0,0,0,0.12327976,0.9588119,6.909523,1,0.9588119,0.12327976,6.909523,17,59713643048,50,0.0,0.0,0.014998197555541992
